Id,Label,VRA_Similarity,Category,Is_VRA,Red,Green,Blue,Size
17,"The GMRT High Resolution Southern Sky Survey for pulsars and",0.10666666666666667,Very Low (<0.15),False,100,149,237,14.266666666666666
18,"Deterministic Selection of Phase Sequences in Low Complexity",0.10285714285714286,Very Low (<0.15),False,100,149,237,14.114285714285714
19,"Digital Filters for Instantaneous Frequency Estimation",0.10285714285714286,Very Low (<0.15),False,100,149,237,14.114285714285714
20,"High Accuracy and Low Complexity Frequency Offset Estimation",0.10285714285714286,Very Low (<0.15),False,100,149,237,14.114285714285714
21,"Inter-Carrier Interference Mitigation for Differentially Coh",0.10285714285714286,Very Low (<0.15),False,100,149,237,14.114285714285714
22,"Stable Recovery from the Magnitude of Symmetrized Fourier Me",0.10285714285714286,Very Low (<0.15),False,100,149,237,14.114285714285714
23,"Correlation Functions of Classical and Quantum Artin System ",0.09904761904761905,Very Low (<0.15),False,169,169,169,13.961904761904762
24,"Phase Noise Influence in Coherent Optical OFDM Systems with ",0.09333333333333335,Very Low (<0.15),False,169,169,169,13.733333333333334
25,"Fast Quantum Modular Exponentiation Architecture for Shor s ",0.09333333333333335,Very Low (<0.15),False,169,169,169,13.733333333333334
26,"Increasing the detectability of long-period and nulling puls",0.09111111111111113,Very Low (<0.15),False,169,169,169,13.644444444444446
27,"Space-Efficient and Noise-Robust Quantum Factoring",0.09111111111111113,Very Low (<0.15),False,169,169,169,13.644444444444446
28,"Fast Fourier Transform periodic interpolation method for sup",0.08952380952380953,Very Low (<0.15),False,169,169,169,13.580952380952382
29,"Regular dessins with primitive automorphism groups",0.0857142857142857,Very Low (<0.15),False,169,169,169,13.428571428571427
30,"An Improved QFT-Based Quantum Comparator and Extended Modula",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
31,"CHIME FRB An application of FFT beamforming for a radio tele",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
32,"Constant-Optimized Quantum Circuits for Modular Multiplicati",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
33,"Efficient FFT Computation in IFDMA Transceivers",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
34,"Eigendecomposition-Based Partial FFT Demodulation for Differ",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
35,"End-to-End Deep Learning in Phase Noisy Coherent Optical Lin",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
36,"Finite equal norm Parseval Wavelet Frames over Prime Fields",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
37,"High Performance Quantum Modular Multipliers",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
38,"Integrated All-Optical Fast Fourier Transform Design and Sen",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
39,"Learning Modular Exponentiation with Transformers",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
40,"Narrowband Interference Detection via Deep Learning",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
41,"New Residue Arithmetic Based Barrett Algorithms Part II Modu",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
42,"Phasor-Driven Acceleration for FFT-based CNNs",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
43,"Pre-trained Large Language Models Use Fourier Features to Co",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
44,"Systematic Use of Random Self-Reducibility against Physical ",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
45,"The modular multiplication operator and the quantized bakers",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
46,"Towards On-Chip Optical FFTs for Convolutional Neural Networ",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
47,"TurboFFT A High-Performance Fast Fourier Transform with Faul",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
48,"Faster Quantum Number Factoring via Circuit Synthesis",0.08000000000000002,Very Low (<0.15),False,169,169,169,13.200000000000001
49,"Measurement-based uncomputation of quantum circuits for modu",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
50,"Shor s Factoring Algorithm and Modular Exponentiation Operat",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
51,"Spectral theory of spin substitutions",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
52,"Truncated Modular Exponentiation Operators A Strategy for Qu",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
53,"Efficient Unitary T-designs from Random Sums",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
54,"Sampling Almost Periodic and related Functions",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
55,"Shor s Factoring Algorithm and Modular Exponentiation Operat",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
56,"Trace Formulas and a Borg-type Theorem for CMV Operators wit",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
57,"Truncated Modular Exponentiation Operators A Strategy for Qu",0.0761904761904762,Very Low (<0.15),False,169,169,169,13.047619047619047
58,"Exponential Sums and Distinct Points on Arcs",0.07238095238095237,Very Low (<0.15),False,169,169,169,12.895238095238096
59,"The graphic nature of the symmetric group",0.07238095238095237,Very Low (<0.15),False,169,169,169,12.895238095238096
60,"Evidence for Energy Supply by Active Region Spicules to the ",0.06666666666666667,Very Low (<0.15),False,169,169,169,12.666666666666666
61,"An Efficient Quantum Algorithm for some Instances of the Gro",0.06666666666666667,Very Low (<0.15),False,169,169,169,12.666666666666666
62,"A Modular and High-Resolution Time-Frequency Post-Processing",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
63,"A Non-radial Oscillation Mode in an Accreting Millisecond Pu",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
64,"Breaking Down the Parallel Performance of GROMACS a High-Per",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
65,"Chaotic Roots of the Modular Multiplication Dynamical System",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
66,"Computational aberration correction in spatiotemporal optica",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
67,"Gradient Descent Fails to Learn High-frequency Functions and",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
68,"Harmonic analysis and spherical functions for multiplicity-f",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
69,"High-Performance Pipelined NTT Accelerators with Homogeneous",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
70,"Low-Complexity Near-Field Localization with XL-MIMO Sectored",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
71,"Measuring the Quantum State of Dark Matter",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
72,"Mechanistic Insights into Grokking from the Embedding Layer",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
73,"Modular SIMD arithmetic in Mathemagix",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
74,"Optimized circuits for windowed modular arithmetic with appl",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
75,"Phase Noise Influence in Long-range Coherent Optical OFDM Sy",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
76,"Signal detection modularity and the correlation between extr",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
77,"Variability Timescale and Spectral Index of Sgr A in the Nea",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
78,"Windowed quantum arithmetic",0.05333333333333334,Very Low (<0.15),False,169,169,169,12.133333333333333
